,title,pub_date,authors,abstract,FTURL
0,A Network-Based High-Level Data Classification Algorithm Using Betweenness Centrality,2020-09-16,"['Vilca, Esteban', 'Zhao, Liang']","Data classification is a major machine learning paradigm, which has been
widely applied to solve a large number of real-world problems. Traditional data
classification techniques consider only physical features (e.g., distance,
similarity, or distribution) of the input data. For this reason, those are
called \textit{low-level} classification. On the other hand, the human (animal)
brain performs both low and high orders of learning and it has a facility in
identifying patterns according to the semantic meaning of the input data. Data
classification that considers not only physical attributes but also the pattern
formation is referred to as \textit{high-level} classification. Several
high-level classification techniques have been developed, which make use of
complex networks to characterize data patterns and have obtained promising
results. In this paper, we propose a pure network-based high-level
classification technique that uses the betweenness centrality measure. We test
this model in nine different real datasets and compare it with other nine
traditional and well-known classification models. The results show us a
competent classification performance.",http://arxiv.org/pdf/2009.07971.pdf
1,Skeletonization and Reconstruction based on Graph Morphological Transformations,2020-09-16,"['Memarzadeh, Hossein', 'Yousefi, Bardia', 'P.V., Xavier']","Multiscale shape skeletonization on pixel adjacency graphs is an advanced
intriguing research subject in the field of image processing, computer vision
and data mining. The previous works in this area almost focused on the graph
vertices. We proposed novel structured based graph morphological
transformations based on edges opposite to the current node based
transformations and used them for deploying skeletonization and reconstruction
of infrared thermal images represented by graphs. The advantage of this method
is that many widely used path based approaches become available within this
definition of morphological operations. For instance, we use distance maps and
image foresting transform (IFT) as two main path based methods are utilized for
computing the skeleton of an image. Moreover, In addition, the open question
proposed by Maragos et al (2013) about connectivity of graph skeletonization
method are discussed and shown to be quite difficult to decide in general case.",http://arxiv.org/pdf/2009.07970.pdf
2,Discovering causal factors of drought in Ethiopia,2020-09-16,"['Noorbakhsh, Mohammad', 'Connaughton, Colm', 'A., Francisco']","Drought is a costly natural hazard, many aspects of which remain poorly
understood. It has many contributory factors, driving its outset, duration, and
severity, including land surface, anthropogenic activities, and, most
importantly, meteorological anomalies. Prediction plays a crucial role in
drought preparedness and risk mitigation. However, this is a challenging task
at socio-economically critical lead times (1-2 years), because meteorological
anomalies operate at a wide range of temporal and spatial scales. Among them,
past studies have shown a correlation between the Sea Surface Temperature (SST)
anomaly and the amount of precipitation in various locations in Africa. In its
Eastern part, the cooling phase of El Nino-Southern Oscillation (ENSO) and SST
anomaly in the Indian ocean are correlated with the lack of rainfall. Given the
intrinsic shortcomings of correlation coefficients, we investigate the
association among SST modes of variability and the monthly fraction of grid
points in Ethiopia, which are in drought conditions in terms of causality.
Using the empirical extreme quantiles of precipitation distribution as a proxy
for drought, We show that the level of SST second mode of variability in the
prior year influences the occurrence of drought in Ethiopia. The causal link
between these two variables has a negative coefficient that verifies the
conclusion of past studies that rainfall deficiency in the Horn of Africa is
associated with ENSO's cooling phase.",http://arxiv.org/pdf/2009.07955.pdf
3,How to marry a star: probabilistic constraints for meaning in context,2020-09-16,"['Erk, Katrin', 'Herbelot, Aurelie']","In this paper, we derive a notion of word meaning in context from Fillmore's
'semantics of understanding', in which a listener draws on their knowledge of
both language and the world to 'envision' the situation described in an
utterance. We characterize utterance understanding as a combination of
cognitive semantics and Discourse Representation Theory, formalized as a
situation description system:a probabilistic model which takes utterance
understanding to be the mental process of describing one or more situations
that would account for an observed utterance. Our model captures the interplay
of local and global contexts and their joint influence upon the lexical
representation of sentence constituents. We implement the system using a
directed graphical model, and apply it to examples containing various
contextualization phenomena.",http://arxiv.org/pdf/2009.07936.pdf
4,Exploration of Fine-Grained Parallelism for Load Balancing Eager K-truss on GPU and CPU,2020-09-16,"['Blanco, Mark', 'Meng, Tze', 'Kim, Kyungjoo']","In this work we present a performance exploration on Eager K-truss, a
linear-algebraic formulation of the K-truss graph algorithm. We address
performance issues related to load imbalance of parallel tasks in symmetric,
triangular graphs by presenting a fine-grained parallel approach to executing
the support computation. This approach also increases available parallelism,
making it amenable to GPU execution. We demonstrate our fine-grained parallel
approach using implementations in Kokkos and evaluate them on an Intel Skylake
CPU and an Nvidia Tesla V100 GPU. Overall, we observe between a 1.261. 48x
improvement on the CPU and a 9.97-16.92x improvement on the GPU due to our
fine-grained parallel formulation.",http://arxiv.org/pdf/2009.07929.pdf
5,Comparison Lift: Bandit-based Experimentation System for Online Advertising,2020-09-16,"['Geng, Tong', 'Lin, Xiliang', 'S., Harikesh', 'Hao, Jun', 'Xiang, Bin', 'Fan, Shurui']","Comparison Lift is an experimentation-as-a-service (EaaS) application for
testing online advertising audiences and creatives at",http://arxiv.org/pdf/2009.07899.pdf
6,Captum: A unified and generic model interpretability library for PyTorch,2020-09-16,"['Kokhlikyan, Narine', 'Miglani, Vivek', 'Martin, Miguel', 'Wang, Edward', 'Alsallakh, Bilal', 'Reynolds, Jonathan', 'Melnikov, Alexander', 'Kliushkina, Natalia', 'Araya, Carlos', 'Yan, Siqi', 'Reblitz-Richardson, Orion']","In this paper we introduce a novel, unified, open-source model
interpretability library for PyTorch [12]. The library contains generic
implementations of a number of gradient and perturbation-based attribution
algorithms, also known as feature, neuron and layer importance algorithms, as
well as a set of evaluation metrics for these algorithms. It can be used for
both classification and non-classification models including graph-structured
models built on Neural Networks (NN). In this paper we give a high-level
overview of supported attribution algorithms and show how to perform
memory-efficient and scalable computations. We emphasize that the three main
characteristics of the library are multimodality, extensibility and ease of
use. Multimodality supports different modality of inputs such as image, text,
audio or video. Extensibility allows adding new algorithms and features. The
library is also designed for easy understanding and use. Besides, we also
introduce an interactive visualization tool called Captum Insights that is
built on top of Captum library and allows sample-based model debugging and
visualization using feature importance metrics.",http://arxiv.org/pdf/2009.07896.pdf
7,Network Analysis of Orchestral Concert Programming,2020-09-16,"['K., Anna']","Orchestral concert programming is a challenging, yet critical task for
expanding audience engagement and is usually driven by qualitative heuristics
and common musical practices. Quantitative analysis of orchestral programming
has been limited, but has become more possible as many orchestras archive their
performance history online. The contribution of this work is to use statistical
network models to quantitatively explore orchestral concert programming,
focusing on which factors determine if two composers are programmed together in
the same concert by the Boston Symphony Orchestra. We find that the type of
composition is the most important covariate in determining which composers are
performed together and the additive and multiplicative effects are logical from
an orchestral programming perspective. These results suggest that a network
analysis is a promising approach for the analysis of concert programming, with
several directions for future extensions.",http://arxiv.org/pdf/2009.07887.pdf
8,(Un)clear and (In)conspicuous: The right to opt-out of sale under CCPA,2020-09-16,"[""O'Connor, Sean"", 'Nurwono, Ryan', 'Birrell, Eleanor']","The California Consumer Privacy Act (CCPA)---which began enforcement on July
1, 2020---grants California users the affirmative right to opt-out of the sale
of their personal information. In this work, we perform a manual analysis of
the top 500 U.S. websites and classify how each site implements this new
requirement. We find that the vast majority of sites that implement opt-out
mechanisms do so with a Do Not Sell link rather than with a privacy banner, and
that many of the linked opt-out controls exhibit features such as nudging and
indirect mechanisms (e.g., fillable forms). We then perform a pair of user
studies with 4357 unique users (recruited from Google Ads and Amazon Mechanical
Turk) in which we observe how users interact with different opt-out mechanisms
and evaluate how the implementation choices we observed---exclusive use of
links, prevalent nudging, and indirect mechanisms---affect the rate at which
users exercise their right to opt-out of sale. We find that these design
elements significantly deter interactions with opt-out mechanisms (including
reducing the opt-out rate for users who are uncomfortable with the sale of
their information) and that they reduce users' awareness of their ability to
opt-out. Our results demonstrate the importance of regulations that provide
clear implementation requirements in order empower users to exercise their
privacy rights.",http://arxiv.org/pdf/2009.07884.pdf
9,Using Sensory Time-cue to enable Unsupervised Multimodal Meta-learning,2020-09-16,"['Liu, Qiong', 'Zhang, Yanxia']","As data from IoT (Internet of Things) sensors become ubiquitous,
state-of-the-art machine learning algorithms face many challenges on directly
using sensor data. To overcome these challenges, methods must be designed to
learn directly from sensors without manual annotations. This paper introduces
Sensory Time-cue for Unsupervised Meta-learning (STUM). Different from
traditional learning approaches that either heavily depend on labels or on
time-independent feature extraction assumptions, such as Gaussian distribution
features, the STUM system uses time relation of inputs to guide the feature
space formation within and across modalities. The fact that STUM learns from a
variety of small tasks may put this method in the camp of Meta-Learning.
Different from existing Meta-Learning approaches, STUM learning tasks are
composed within and across multiple modalities based on time-cue co-exist with
the IoT streaming data. In an audiovisual learning example, because consecutive
visual frames usually comprise the same object, this approach provides a unique
way to organize features from the same object together. The same method can
also organize visual object features with the object's spoken-name features
together if the spoken name is presented with the object at about the same
time. This cross-modality feature organization may further help the
organization of visual features that belong to similar objects but acquired at
different location and time. Promising results are achieved through
evaluations.",http://arxiv.org/pdf/2009.07879.pdf
